customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
2603-HVKCG,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
8218-FFJDS,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
4636-TVXVG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8065-BVEPF,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
3415-TAILE,Yes,No,DSL,No,No,No,No,Yes,Yes
9700-ISPUP,Yes,No,DSL,No,Yes,No,Yes,No,Yes
8819-WFGGJ,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes
8374-UULRV,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
7851-FLGGQ,No,No phone service,DSL,No,Yes,No,Yes,No,Yes
9796-MVYXX,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
1845-ZLLIG,Yes,No,DSL,No,Yes,No,No,No,No
1740-CSDJP,No,No phone service,DSL,No,No,No,No,No,Yes
3173-WSSUE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1400-MMYXY,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3902-MIVLE,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes
1223-UNPKS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8259-NFJTV,No,No phone service,DSL,Yes,No,No,Yes,No,No
2333-KWEWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6652-YFFJO,Yes,No,DSL,No,No,No,No,Yes,Yes
6543-JXSOO,Yes,No,DSL,Yes,Yes,No,Yes,No,No
2316-ESMLS,No,No phone service,DSL,Yes,No,No,Yes,No,No
2436-QBZFP,No,No phone service,DSL,No,Yes,No,No,Yes,No
4947-DSMXK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2668-TZSPS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7850-THJMU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2123-VSCOT,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No
1217-VASWC,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
7706-DZNKK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7369-TRPFD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7989-CHGTL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5569-IDSEY,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2634-HCZGT,Yes,Yes,DSL,Yes,No,No,Yes,No,No
0842-IWYCP,Yes,No,DSL,No,No,No,No,No,No
8212-CRQXP,Yes,No,Fiber optic,No,No,No,No,Yes,No
0380-ZCSBI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4662-EKDPQ,Yes,Yes,DSL,No,No,No,No,No,Yes
5245-VDBUR,No,No phone service,DSL,Yes,No,Yes,No,No,No
4860-YZGZM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7730-IUTDZ,Yes,No,Fiber optic,Yes,No,No,No,No,No
5377-NDTOU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0611-DFXKO,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
0793-TWELN,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
